iter	Passed	Remaining
0	2	2390
1	4	2141
2	6	2133
3	10	2683
4	12	2562
5	15	2494
6	17	2424
7	19	2384
8	21	2353
9	25	2497
10	67	6109
11	77	6371
12	85	6467
13	87	6174
14	93	6150
15	98	6054
16	102	5929
17	115	6326
18	117	6074
19	124	6086
20	131	6117
21	132	5891
22	135	5745
23	143	5834
24	145	5658
25	147	5538
26	149	5388
27	150	5238
28	155	5215
29	160	5173
30	161	5061
31	164	4964
32	166	4866
33	172	4910
34	174	4824
35	178	4783
36	187	4871
37	190	4823
38	192	4737
39	194	4672
40	196	4593
41	201	4597
42	203	4528
43	205	4470
44	207	4405
45	209	4342
46	211	4288
47	216	4293
48	218	4248
49	220	4198
50	223	4150
51	232	4230
52	237	4250
53	240	4220
54	252	4339
55	254	4296
56	258	4270
57	266	4321
58	267	4273
59	269	4225
60	271	4178
61	274	4148
62	279	4155
63	281	4113
64	283	4070
65	284	4031
66	288	4017
67	290	3979
68	294	3978
69	296	3941
70	298	3901
71	299	3862
72	301	3825
73	302	3788
74	304	3753
75	305	3718
76	310	3716
77	311	3684
78	313	3650
79	314	3617
80	316	3590
81	318	3560
82	319	3531
83	321	3508
84	326	3510
85	327	3481
86	329	3454
87	333	3453
88	336	3444
89	344	3483
90	346	3458
91	347	3432
92	350	3417
93	351	3391
94	359	3420
95	361	3400
96	362	3375
97	364	3351
98	365	3324
99	366	3300
100	372	3313
101	373	3292
102	375	3269
103	376	3247
104	378	3224
105	379	3200
106	380	3176
107	381	3153
108	387	3165
109	389	3148
110	390	3128
111	392	3108
112	393	3086
113	394	3065
114	395	3044
115	396	3023
116	398	3005
117	402	3006
118	403	2988
119	405	2972
120	406	2954
121	407	2935
122	409	2916
123	410	2898
124	411	2880
125	416	2888
126	417	2872
127	419	2856
128	420	2841
129	422	2824
130	423	2807
131	424	2790
132	425	2774
133	426	2758
134	431	2765
135	433	2751
136	434	2737
137	436	2723
138	437	2708
139	438	2693
140	439	2678
141	440	2664
142	441	2645
143	442	2631
144	447	2640
145	449	2628
146	450	2615
147	453	2607
148	454	2596
149	455	2582
150	456	2569
151	457	2553
152	462	2562
153	464	2551
154	466	2540
155	467	2529
156	469	2519
157	470	2507
158	471	2494
159	472	2482
160	483	2519
161	484	2507
162	492	2527
163	495	2527
164	509	2577
165	521	2621
166	523	2613
167	525	2603
168	529	2602
169	530	2590
170	531	2578
171	536	2582
172	540	2583
173	541	2569
174	542	2558
175	544	2549
176	545	2537
177	546	2525
178	554	2541
179	555	2531
180	556	2519
181	559	2513
182	560	2503
183	562	2492
184	563	2481
185	566	2480
186	568	2469
187	569	2459
188	571	2450
189	572	2439
190	573	2428
191	574	2418
192	575	2405
193	581	2417
194	582	2405
195	583	2393
196	584	2382
197	586	2374
198	587	2363
199	587	2351
200	589	2342
201	590	2332
202	596	2343
203	598	2334
204	599	2325
205	600	2315
206	601	2305
207	603	2296
208	604	2286
209	605	2277
210	611	2285
211	612	2277
212	613	2267
213	615	2259
214	616	2249
215	617	2239
216	618	2230
217	618	2219
218	620	2212
219	627	2223
220	628	2216
221	629	2206
222	632	2202
223	633	2194
224	634	2184
225	635	2175
226	636	2165
227	641	2173
228	643	2166
229	644	2157
230	645	2149
231	646	2139
232	647	2131
233	648	2122
234	649	2115
235	650	2106
236	651	2098
237	681	2182
238	682	2172
239	685	2170
240	686	2163
241	687	2154
242	688	2145
243	695	2155
244	696	2146
245	697	2137
246	698	2128
247	698	2119
248	699	2110
249	700	2102
250	702	2096
251	704	2092
252	710	2096
253	712	2091
254	714	2086
255	716	2081
256	718	2076
257	719	2068
258	725	2076
259	726	2068
260	727	2060
261	729	2055
262	730	2047
263	731	2040
264	733	2035
265	742	2048
266	744	2043
267	745	2035
268	747	2031
269	749	2026
270	750	2019
271	756	2024
272	757	2016
273	758	2009
274	760	2005
275	762	2000
276	770	2010
277	772	2005
278	774	2001
279	776	1997
280	778	1992
281	779	1984
282	786	1991
283	786	1984
284	788	1979
285	791	1974
286	793	1970
287	794	1965
288	801	1972
289	802	1964
290	804	1959
291	806	1955
292	807	1948
293	809	1943
294	811	1938
295	812	1931
296	813	1924
297	814	1919
298	822	1927
299	823	1922
300	825	1916
301	827	1911
302	828	1906
303	829	1899
304	830	1891
305	847	1921
306	854	1928
307	856	1924
308	858	1920
309	859	1913
310	862	1910
311	870	1919
312	883	1940
313	885	1934
314	886	1928
315	887	1922
316	889	1917
317	891	1911
318	892	1904
319	893	1898
320	894	1892
321	899	1893
322	901	1888
323	902	1882
324	904	1878
325	905	1872
326	906	1866
327	908	1860
328	909	1854
329	910	1849
330	914	1848
331	916	1843
332	917	1838
333	920	1835
334	921	1829
335	922	1823
336	923	1817
337	925	1811
338	929	1813
339	931	1808
340	933	1803
341	934	1798
342	936	1792
343	937	1787
344	938	1781
345	939	1776
346	941	1771
347	945	1770
348	946	1765
349	948	1761
350	951	1758
351	952	1752
352	954	1748
353	955	1744
354	961	1746
355	963	1742
356	964	1737
357	966	1733
358	969	1730
359	970	1725
360	976	1727
361	977	1723
362	979	1719
363	981	1715
364	982	1710
365	984	1704
366	985	1699
367	987	1696
368	990	1693
369	992	1689
370	994	1685
371	995	1681
372	997	1676
373	999	1673
374	1006	1678
375	1009	1674
376	1010	1670
377	1013	1666
378	1014	1662
379	1017	1660
380	1022	1660
381	1023	1656
382	1025	1651
383	1027	1648
384	1028	1643
385	1030	1638
386	1032	1634
387	1036	1634
388	1038	1630
389	1039	1625
390	1041	1621
391	1045	1621
392	1048	1618
393	1054	1621
394	1056	1617
395	1060	1617
396	1062	1613
397	1071	1620
398	1072	1615
399	1074	1611
400	1075	1607
401	1077	1602
402	1079	1599
403	1084	1600
404	1086	1596
405	1088	1591
406	1089	1587
407	1091	1583
408	1093	1579
409	1100	1583
410	1102	1579
411	1103	1575
412	1105	1571
413	1107	1567
414	1112	1568
415	1114	1565
416	1116	1561
417	1120	1559
418	1123	1557
419	1131	1562
420	1133	1558
421	1134	1554
422	1136	1550
423	1138	1547
424	1146	1550
425	1148	1546
426	1149	1542
427	1151	1538
428	1153	1534
429	1154	1530
430	1160	1532
431	1162	1528
432	1164	1524
433	1165	1519
434	1166	1515
435	1167	1510
436	1168	1505
437	1170	1501
438	1175	1502
439	1176	1497
440	1178	1493
441	1179	1489
442	1180	1484
443	1181	1480
444	1183	1475
445	1184	1471
446	1185	1466
447	1190	1466
448	1191	1462
449	1193	1458
450	1194	1453
451	1195	1449
452	1196	1445
453	1198	1440
454	1199	1436
455	1200	1432
456	1204	1430
457	1205	1426
458	1206	1422
459	1207	1417
460	1209	1413
461	1210	1409
462	1211	1405
463	1212	1400
464	1213	1396
465	1215	1392
466	1217	1389
467	1219	1386
468	1221	1383
469	1223	1379
470	1224	1375
471	1225	1371
472	1227	1367
473	1228	1363
474	1229	1358
475	1230	1354
476	1233	1352
477	1234	1348
478	1236	1344
479	1237	1340
480	1238	1336
481	1239	1332
482	1241	1328
483	1242	1324
484	1243	1320
485	1244	1316
486	1245	1312
487	1248	1310
488	1250	1306
489	1251	1302
490	1252	1298
491	1254	1294
492	1255	1291
493	1256	1287
494	1257	1283
495	1259	1279
496	1260	1275
497	1261	1271
498	1264	1269
499	1265	1265
500	1266	1261
501	1268	1257
502	1269	1254
503	1270	1250
504	1271	1246
505	1272	1242
506	1274	1238
507	1275	1235
508	1276	1231
509	1279	1228
510	1280	1225
511	1281	1221
512	1283	1218
513	1284	1214
514	1285	1210
515	1286	1207
516	1288	1203
517	1289	1199
518	1290	1196
519	1293	1194
520	1295	1190
521	1296	1187
522	1297	1183
523	1299	1180
524	1300	1176
525	1301	1172
526	1302	1169
527	1303	1165
528	1305	1161
529	1306	1158
530	1309	1156
531	1311	1153
532	1312	1150
533	1314	1146
534	1315	1143
535	1316	1139
536	1318	1136
537	1319	1132
538	1320	1129
539	1323	1127
540	1325	1124
541	1326	1121
542	1327	1117
543	1329	1114
544	1330	1110
545	1331	1107
546	1332	1103
547	1333	1100
548	1335	1096
549	1336	1093
550	1338	1091
551	1341	1088
552	1350	1091
553	1354	1090
554	1355	1086
555	1356	1083
556	1358	1080
557	1359	1076
558	1360	1073
559	1361	1069
560	1363	1066
561	1364	1063
562	1365	1060
563	1367	1056
564	1371	1055
565	1373	1053
566	1376	1051
567	1378	1048
568	1379	1044
569	1380	1041
570	1382	1038
571	1387	1038
572	1389	1035
573	1391	1032
574	1392	1029
575	1393	1026
576	1395	1022
577	1396	1019
578	1402	1019
579	1404	1016
580	1405	1013
581	1408	1011
582	1409	1008
583	1411	1005
584	1413	1002
585	1418	1002
586	1420	999
587	1422	996
588	1423	993
589	1425	990
590	1434	992
591	1436	989
592	1438	987
593	1439	984
594	1441	980
595	1442	977
596	1447	976
597	1449	974
598	1450	971
599	1452	968
600	1454	965
601	1459	964
602	1462	963
603	1465	960
604	1467	958
605	1468	955
606	1473	954
607	1476	952
608	1478	949
609	1479	945
610	1480	942
611	1481	939
612	1483	936
613	1484	933
614	1486	930
615	1490	929
616	1492	926
617	1493	923
618	1494	919
619	1495	916
620	1496	913
621	1498	910
622	1499	907
623	1504	906
624	1506	903
625	1507	900
626	1508	897
627	1509	894
628	1510	891
629	1512	888
630	1513	884
631	1514	881
632	1518	880
633	1520	877
634	1522	874
635	1523	872
636	1525	869
637	1526	866
638	1527	863
639	1528	859
640	1529	856
641	1533	855
642	1534	852
643	1536	849
644	1537	846
645	1538	843
646	1539	840
647	1541	837
648	1542	834
649	1543	831
650	1544	828
651	1547	826
652	1549	823
653	1550	820
654	1551	817
655	1552	814
656	1553	811
657	1555	808
658	1556	805
659	1557	802
660	1558	799
661	1559	796
662	1562	794
663	1563	791
664	1565	788
665	1566	785
666	1567	782
667	1568	779
668	1569	776
669	1571	773
670	1572	770
671	1573	767
672	1574	765
673	1576	762
674	1578	760
675	1579	757
676	1581	754
677	1582	751
678	1583	748
679	1584	745
680	1585	742
681	1587	740
682	1588	737
683	1589	734
684	1592	732
685	1593	729
686	1595	726
687	1596	723
688	1597	721
689	1598	718
690	1599	715
691	1601	712
692	1602	709
693	1603	706
694	1604	704
695	1608	702
696	1609	699
697	1611	697
698	1612	694
699	1614	691
700	1615	689
701	1616	686
702	1617	683
703	1619	680
704	1620	677
705	1623	676
706	1624	673
707	1625	670
708	1627	668
709	1628	665
710	1630	662
711	1631	659
712	1632	657
713	1633	654
714	1634	651
715	1638	649
716	1639	647
717	1640	644
718	1642	641
719	1643	639
720	1644	636
721	1645	633
722	1646	630
723	1648	628
724	1649	625
725	1650	623
726	1653	620
727	1654	618
728	1655	615
729	1657	612
730	1658	610
731	1659	607
732	1660	604
733	1661	602
734	1662	599
735	1664	596
736	1665	594
737	1668	592
738	1669	589
739	1670	587
740	1672	584
741	1673	581
742	1674	579
743	1675	576
744	1676	573
745	1677	571
746	1679	568
747	1680	566
748	1683	564
749	1684	561
750	1685	558
751	1686	556
752	1688	553
753	1689	551
754	1690	548
755	1691	546
756	1692	543
757	1694	540
758	1696	538
759	1699	536
760	1706	535
761	1708	533
762	1710	531
763	1712	528
764	1713	526
765	1714	523
766	1716	521
767	1717	518
768	1718	516
769	1719	513
770	1723	511
771	1724	509
772	1726	506
773	1727	504
774	1728	501
775	1729	499
776	1730	496
777	1732	494
778	1733	491
779	1734	489
780	1736	486
781	1738	484
782	1740	482
783	1741	479
784	1742	477
785	1743	474
786	1745	472
787	1746	469
788	1747	467
789	1748	464
790	1749	462
791	1752	460
792	1753	457
793	1755	455
794	1757	453
795	1758	450
796	1759	448
797	1760	445
798	1761	443
799	1763	440
800	1764	438
801	1766	436
802	1769	434
803	1770	431
804	1772	429
805	1774	427
806	1776	424
807	1778	422
808	1779	420
809	1780	417
810	1784	415
811	1788	413
812	1789	411
813	1791	409
814	1792	406
815	1793	404
816	1795	402
817	1801	400
