iter	RMSE
0	14.09374055
1	13.68806924
2	13.29109843
3	12.93275389
4	12.57617284
5	12.28178396
6	11.93501261
7	11.63483435
8	11.34165531
9	11.02005456
10	10.71106336
11	10.44351846
12	10.15103654
13	9.865402849
14	9.595105481
15	9.323147033
16	9.05351875
17	8.824541398
18	8.580721132
19	8.344481396
20	8.148212432
21	7.966251952
22	7.769741551
23	7.568360261
24	7.375644493
25	7.209162151
26	7.023793187
27	6.83795624
28	6.658043734
29	6.507836544
30	6.351110237
31	6.183007628
32	6.028988192
33	5.878311838
34	5.738251608
35	5.607484497
36	5.470100022
37	5.358103527
38	5.231366908
39	5.107261897
40	4.997581935
41	4.886211356
42	4.772113636
43	4.668971461
44	4.571984251
45	4.479851361
46	4.387199216
47	4.300554409
48	4.218202897
49	4.142274963
50	4.070602521
51	3.989568823
52	3.910671322
53	3.84046995
54	3.773319771
55	3.709417907
56	3.642906781
57	3.570428334
58	3.504092104
59	3.443148678
60	3.381224777
61	3.325938874
62	3.265990548
63	3.209286409
64	3.153995294
65	3.100060439
66	3.047462043
67	3.006986321
68	2.963678927
69	2.918780521
70	2.873815057
71	2.834650916
72	2.792705454
73	2.757325051
74	2.719399019
75	2.683902412
76	2.651621644
77	2.618909624
78	2.590244184
79	2.561812537
80	2.532596911
81	2.505640896
82	2.481236454
83	2.450795882
84	2.427692647
85	2.405308673
86	2.38302162
87	2.359635543
88	2.338432741
89	2.317724861
90	2.299686753
91	2.278081312
92	2.258425431
93	2.242348033
94	2.222561822
95	2.208358782
96	2.189946923
97	2.173100436
98	2.157287771
99	2.143540943
100	2.130080325
101	2.11450731
102	2.101443208
103	2.086552701
104	2.07422739
105	2.060811459
106	2.047947734
107	2.036477882
108	2.024702953
109	2.014355899
110	2.003964857
111	1.994287873
112	1.984540461
113	1.975988165
114	1.968001193
115	1.959562414
116	1.950991269
117	1.945206345
118	1.937701899
119	1.929295048
120	1.921375914
121	1.913475594
122	1.905952387
123	1.897805715
124	1.889047959
125	1.880904863
126	1.874423829
127	1.86794698
128	1.860305953
129	1.854202704
130	1.849392996
131	1.842012292
132	1.834959173
133	1.828238975
134	1.821275431
135	1.813905191
136	1.807821758
137	1.804313972
138	1.798420595
139	1.791953583
140	1.786200355
141	1.781600167
142	1.774874339
143	1.767951228
144	1.762369936
145	1.758694677
146	1.752454103
147	1.747565697
148	1.74313047
149	1.738383392
150	1.733686418
151	1.729460618
152	1.724821419
153	1.720240239
154	1.71588749
155	1.712229821
156	1.705470932
157	1.701565861
158	1.697073122
159	1.692644844
160	1.689022202
161	1.684529617
162	1.681180661
163	1.6778783
164	1.673729424
165	1.670688186
166	1.668125175
167	1.664679326
168	1.661475025
169	1.656990862
170	1.653261251
171	1.649555467
172	1.646608937
173	1.644748634
174	1.641530619
175	1.63824742
176	1.637368909
177	1.634056901
178	1.630018248
179	1.626598631
180	1.622456562
181	1.619660634
182	1.616686402
183	1.614696573
184	1.611824845
185	1.60958005
186	1.607180282
187	1.603867077
188	1.601150375
189	1.599029927
190	1.596466556
191	1.59444577
192	1.592325319
193	1.590256902
194	1.588005193
195	1.585602625
196	1.583255292
197	1.580982226
198	1.579407401
199	1.576563213
200	1.575137633
201	1.572938446
202	1.570990211
203	1.568486311
204	1.566628323
205	1.565162555
206	1.56255161
207	1.560562863
208	1.558312231
209	1.556810043
210	1.553630338
211	1.551812906
212	1.550058923
213	1.5484979
214	1.547151646
215	1.545571943
216	1.544538271
217	1.542497186
218	1.540545393
219	1.53844178
220	1.537036124
221	1.535213152
222	1.532666734
223	1.531219815
224	1.529363523
225	1.527416347
226	1.525524173
227	1.522957174
228	1.520765685
229	1.518138646
230	1.516910963
231	1.515782018
232	1.514450533
233	1.513447149
234	1.511420865
235	1.510024891
236	1.506895007
237	1.505881178
238	1.504242461
239	1.501351315
240	1.4997314
241	1.496655777
242	1.494463087
243	1.493130648
244	1.491235354
245	1.488835251
246	1.485963052
247	1.484602141
248	1.483135206
249	1.481781664
250	1.478611037
251	1.475148662
252	1.474313295
253	1.472375016
254	1.471019389
255	1.469853977
256	1.469267918
257	1.468058002
258	1.466651707
259	1.465355588
260	1.463369455
261	1.461923358
262	1.460582349
263	1.459184176
264	1.457832648
265	1.456497495
266	1.454341183
267	1.453253987
268	1.452000644
269	1.450039939
270	1.448658557
271	1.447679819
272	1.445507326
273	1.444137351
274	1.442334885
275	1.441557851
276	1.440406092
277	1.43847685
278	1.437364076
279	1.43634885
280	1.436028247
281	1.435238205
282	1.433460515
283	1.432236637
284	1.431170201
285	1.43062834
286	1.42865585
287	1.427224403
288	1.426536515
289	1.425600636
290	1.423784077
291	1.422169706
292	1.421274178
293	1.420573188
294	1.417388613
295	1.416686593
296	1.415052975
297	1.414034672
298	1.413778678
299	1.412823924
300	1.410735742
301	1.409850118
302	1.408530903
303	1.407753821
304	1.405899225
305	1.405238282
306	1.404516363
307	1.403952915
308	1.403204764
309	1.401047546
310	1.398908195
311	1.396971692
312	1.395309709
313	1.393831951
314	1.393086765
315	1.392255584
316	1.389051231
317	1.386799112
318	1.385536164
319	1.383921737
320	1.382952531
321	1.380976325
322	1.379497537
323	1.378102173
324	1.375873602
325	1.375676398
326	1.374630971
327	1.372666973
328	1.371942212
329	1.369647986
330	1.36895844
331	1.367229074
332	1.364381211
333	1.362304852
334	1.361047183
335	1.360784268
336	1.36011464
337	1.358620091
338	1.356548995
339	1.355308156
340	1.355030628
341	1.353136342
342	1.350546789
343	1.350177888
344	1.34898811
345	1.348571652
346	1.348075718
347	1.346781493
348	1.345069025
349	1.343882764
350	1.342365106
351	1.341008826
352	1.340245857
353	1.338906946
354	1.336876299
355	1.335616543
356	1.335265605
357	1.33357936
358	1.332175538
359	1.330924416
360	1.329357412
361	1.327976789
362	1.327589633
363	1.326253757
364	1.326010884
365	1.323611026
366	1.321714344
367	1.318844072
368	1.317518585
369	1.315493074
370	1.312760144
371	1.311597125
372	1.30965152
373	1.308957982
374	1.307180743
375	1.304686533
376	1.302442537
377	1.301018097
378	1.300519062
379	1.298329949
380	1.296989213
381	1.295177442
382	1.294231909
383	1.293414558
384	1.292249231
385	1.291540772
386	1.290739114
387	1.289304343
388	1.288100081
389	1.287089047
390	1.2856557
391	1.285457732
392	1.284534327
393	1.282654308
394	1.282450769
395	1.280699796
396	1.279991104
397	1.279844385
398	1.278455549
399	1.27723463
400	1.276690562
401	1.275390508
402	1.273298786
403	1.272989061
404	1.271948888
405	1.270740597
406	1.270291814
407	1.269021661
408	1.268279644
409	1.267015824
410	1.266096707
411	1.265946637
412	1.264728729
413	1.262781534
414	1.261594755
415	1.259943687
416	1.259704261
417	1.258771905
418	1.257596541
419	1.256442909
420	1.256277003
421	1.254917289
422	1.253370655
423	1.251157003
424	1.250231718
425	1.248243241
426	1.247924273
427	1.246647113
428	1.246326321
429	1.245222228
430	1.243434589
431	1.2429779
432	1.242758627
433	1.242127836
434	1.240724197
435	1.23967308
436	1.237759208
437	1.236167434
438	1.234924975
439	1.234010663
440	1.233459315
441	1.231852369
442	1.230917748
443	1.229742911
444	1.228920644
445	1.228799746
