iter	Passed	Remaining
0	1	1773
1	3	1901
2	6	2009
3	8	1995
4	10	2091
5	12	2014
6	13	1973
7	17	2160
8	19	2144
9	21	2123
10	22	2063
11	24	2049
12	29	2209
13	30	2153
14	51	3364
15	61	3773
16	66	3825
17	76	4161
18	77	3998
19	78	3848
20	79	3713
21	85	3792
22	87	3718
23	88	3606
24	89	3501
25	91	3415
26	92	3325
27	93	3241
28	98	3283
29	100	3238
30	101	3178
31	102	3109
32	103	3045
33	105	2991
34	106	2936
35	109	2933
36	111	2909
37	113	2870
38	114	2830
39	116	2784
40	117	2749
41	120	2745
42	121	2705
43	123	2674
44	124	2637
45	125	2600
46	126	2570
47	128	2556
48	131	2551
49	132	2520
50	133	2488
51	135	2462
52	136	2433
53	137	2405
54	138	2381
55	140	2364
56	142	2361
57	145	2356
58	146	2337
59	147	2317
60	152	2344
61	154	2339
62	156	2321
63	157	2298
64	158	2277
65	159	2255
66	160	2237
67	164	2255
68	166	2251
69	167	2231
70	169	2214
71	170	2196
72	171	2178
73	173	2166
74	178	2196
75	181	2205
76	182	2189
77	184	2179
78	185	2165
79	187	2152
80	189	2146
81	191	2141
82	192	2131
83	194	2116
84	195	2100
85	196	2088
86	200	2108
87	203	2111
88	204	2095
89	205	2080
90	207	2068
91	208	2054
92	209	2040
93	212	2052
94	214	2047
95	216	2037
96	217	2024
97	218	2011
98	219	2001
99	221	1989
100	222	1976
101	226	1994
102	228	1988
103	229	1976
104	230	1965
105	231	1956
106	233	1945
107	234	1934
108	238	1953
109	241	1952
110	242	1943
111	244	1934
112	245	1924
113	246	1913
114	247	1905
115	250	1905
116	252	1903
117	253	1894
118	254	1884
119	255	1876
120	256	1866
121	258	1857
122	262	1873
123	264	1869
124	265	1860
125	266	1851
126	268	1844
127	269	1835
128	270	1826
129	275	1843
130	278	1844
131	279	1836
132	280	1827
133	281	1820
134	282	1811
135	283	1803
136	288	1817
137	290	1812
138	291	1805
139	292	1798
140	293	1789
141	295	1783
142	296	1775
143	301	1791
144	303	1789
145	304	1783
146	306	1775
147	307	1768
148	308	1761
149	309	1754
150	315	1771
151	316	1767
152	318	1761
153	319	1753
154	320	1746
155	321	1740
156	322	1733
157	324	1728
158	326	1724
159	327	1719
160	328	1712
161	329	1705
162	330	1698
163	332	1693
164	340	1722
165	356	1789
166	357	1784
167	364	1805
168	365	1799
169	367	1792
170	368	1785
171	369	1779
172	370	1772
173	375	1780
174	377	1779
175	379	1775
176	379	1766
177	381	1760
178	382	1753
179	383	1746
180	384	1740
181	386	1735
182	388	1733
183	389	1727
184	390	1720
185	391	1715
186	393	1708
187	394	1702
188	398	1710
189	400	1707
190	402	1703
191	403	1699
192	405	1693
193	406	1687
194	407	1682
195	409	1680
196	411	1677
197	412	1671
198	413	1665
199	415	1660
200	416	1654
201	417	1648
202	420	1651
203	422	1646
204	423	1643
205	425	1638
206	426	1632
207	427	1626
208	428	1620
209	429	1615
210	433	1622
211	436	1622
212	437	1617
213	438	1611
214	440	1607
215	441	1602
216	442	1596
217	447	1604
218	449	1601
219	450	1596
220	451	1590
221	452	1586
222	453	1581
223	454	1576
224	459	1584
225	462	1584
226	463	1579
227	465	1575
228	466	1570
229	467	1565
230	472	1572
231	474	1569
232	475	1565
233	476	1560
234	477	1555
235	479	1551
236	480	1546
237	481	1542
238	483	1541
239	485	1537
240	486	1532
241	487	1527
242	488	1522
243	491	1523
244	494	1523
245	496	1520
246	497	1516
247	498	1511
248	499	1507
249	500	1502
250	504	1504
251	507	1505
252	508	1501
253	509	1497
254	510	1492
255	512	1488
256	513	1484
257	517	1489
258	520	1489
259	521	1484
260	522	1480
261	524	1476
262	525	1472
263	526	1467
264	531	1472
265	578	1595
266	579	1590
267	613	1674
268	615	1673
269	617	1669
270	618	1664
271	620	1659
272	621	1655
273	622	1650
274	623	1645
275	626	1643
276	629	1642
277	630	1636
278	631	1631
279	632	1627
280	633	1621
281	634	1616
282	638	1618
283	640	1614
284	642	1611
285	643	1607
286	644	1602
287	646	1597
288	647	1592
289	652	1597
290	656	1598
291	669	1624
292	671	1620
293	672	1615
294	673	1610
295	675	1605
296	678	1604
297	679	1600
298	680	1595
299	681	1590
300	682	1586
301	684	1581
302	686	1579
303	688	1577
304	690	1572
305	691	1568
306	692	1563
307	693	1558
308	695	1554
309	698	1554
310	700	1552
311	702	1548
312	703	1544
313	704	1539
314	705	1534
315	706	1530
316	710	1531
317	713	1529
318	714	1526
319	716	1522
320	717	1517
321	718	1512
322	719	1508
323	725	1513
324	727	1511
325	728	1506
326	730	1502
327	731	1498
328	732	1493
329	733	1489
330	735	1487
331	738	1485
332	739	1481
333	740	1476
334	741	1472
335	743	1468
336	744	1463
337	748	1466
338	750	1463
339	751	1459
340	753	1455
341	754	1451
342	755	1446
343	756	1442
344	759	1442
345	762	1440
346	763	1437
347	764	1433
348	766	1428
349	767	1424
350	768	1420
351	773	1423
352	775	1422
353	777	1418
354	778	1413
355	779	1409
356	780	1405
357	781	1401
358	786	1404
359	788	1401
360	790	1398
361	791	1394
362	792	1390
363	793	1386
364	794	1382
365	798	1382
366	799	1379
367	801	1375
368	802	1372
369	803	1368
370	804	1364
371	806	1360
372	809	1359
373	810	1357
374	812	1354
375	813	1350
376	815	1346
377	816	1343
378	817	1339
379	818	1335
380	821	1335
381	823	1332
382	824	1328
383	825	1324
384	826	1320
385	828	1317
386	829	1313
387	831	1311
388	833	1308
389	834	1305
390	835	1302
391	837	1298
392	838	1294
393	839	1291
394	842	1290
395	844	1287
396	845	1284
397	846	1280
398	847	1276
399	849	1273
400	850	1270
401	853	1269
402	855	1267
403	856	1263
404	857	1260
405	859	1257
406	860	1253
407	863	1253
408	865	1250
409	867	1248
410	869	1245
411	870	1241
412	871	1238
413	872	1235
414	877	1236
415	881	1237
416	882	1234
417	884	1231
418	885	1227
419	886	1224
420	891	1225
421	893	1223
422	894	1220
423	895	1217
424	897	1213
425	898	1210
426	899	1206
427	904	1208
428	905	1205
429	907	1202
430	908	1199
431	909	1195
432	910	1192
433	911	1189
434	916	1190
435	918	1188
436	920	1185
437	921	1182
438	922	1178
439	923	1175
440	924	1172
441	929	1173
442	931	1171
443	933	1168
444	934	1165
445	935	1162
446	936	1158
447	938	1155
448	942	1156
449	944	1154
450	945	1151
451	947	1148
452	948	1144
453	949	1141
454	950	1138
455	959	1144
456	964	1145
457	966	1144
458	967	1140
459	969	1137
